word,count,suggestion,example_index,example_comment
defriended,1,befriended,3390,ill admit to feeling a little paranoid and wondering about how many others had defriended me
degrassi,1,,3824,i don t want to go home to toronto and feel like a nobody tortured artist loser for two weeks and smoke pot alone in my bedroom and watch degrassi junior high and then weep
deke,1,duke,3510,i just feel so helpless i know deke s going to die and i can t do a fuckin thing about it
demostrators,1,demonstrators,987,i am sure the organisation themselves have the best of intentions though i disagree with them whole heartedly its just i get the feeling that some of the demostrators will be slightly hostile to students
deo,1,do,2515,i just feel you so so dont be afraid naega deo apaya hae and pray again dasi neol chajeul su itge sigani heureulsurok gaseumi apawa i need you go back in time dan hanbeon manirado forgive my sins wo doedollil suman itdamyeon i gotong ttawin naegen so so sloth
depois,1,depots,2912,i feel fine e terminando com eight days a week um ano depois
derfwadmanor,1,,3204,im doing things that make me feel brave and strong i have a a href http derfwadmanor
derp,1,deep,980,i feel derp and innocent because we go there by lrt or the train it was always packed the last time i rode it was like years ago
descara,1,pescara,261,i much regret that i allowed johann to accompany me from khartoum i feel convinced he can never rally from his present descara
desp,1,deep,5862,im feeling really positive desp
destinys,1,destiny,2182,i should feel like successful independent woman a la destinys child no
detatched,1,detached,4124,i feel threatened or anxious i become numb and detatched from my emotions and environment
dezinesamaze,1,,3873,i am feeling very generous this month so i have decided to give away free my kit a href http dezinesamaze
dh,1,do,2056,i told dh i was feeling internally shaky
dharavi,1,dharana,815,i think of what dharavi means for mumbai and the country if you keep the annual turnovers aside for a while i feel agitated
dickish,1,sickish,1718,i feel that this is neither impatient nor dickish and here are some reasons why
digust,1,disgust,3367,i thought i wont be affected by how youre thinking feeling but the petty side of you digust me
dingler,1,dingle,1753,i feel so honored to call rex dingler a friend
dinks,1,drinks,2392,i feel the skeptical looks and eye rolls when we say we need a bigger house after all we re dinks double income no kids which is prettymuch the most awesome acronym ever
dinn,1,dine,907,i feel like every day is a blur of running being irritated with my son and doing something pertaining to making dinn
dipshit,1,mishit,1000,im feeling frantic about time as if the whole summer were a giant hour glass and if im not vigilant all the sand is going to rush out in a whoosh and ill have dipshit to show for it
disorganised,1,disorganized,508,i am feeling quite disorganised and distracted and i wish i could answer some of the questions i seem to be unable to block out or forget or answer with logical answers uuuugh
dissassociated,1,disassociated,3071,i spoke with reported feeling dissassociated and dissatisfied with their human lives
dissatisfactions,1,dissatisfaction,2243,i feel we do have some control over our petty dissatisfactions by trying to act or think and then feel more positive about our own lives
ditlevsen,1,,4861,i was talking to elder ditlevsen the other day about my plans at college and things and how you guys were all way excited for me to get back and he told me that he remembered feeling a little nervous as a parent
dlk,1,elk,2185,i feel like dlk could make a pretty sweet full length
dlpt,1,let,254,i feel so hesitant to say anything positive trying to hold my breath so to speak because none of this really matters until i know that shaun has passed the dlpt
doedollil,1,,2515,i just feel you so so dont be afraid naega deo apaya hae and pray again dasi neol chajeul su itge sigani heureulsurok gaseumi apawa i need you go back in time dan hanbeon manirado forgive my sins wo doedollil suman itdamyeon i gotong ttawin naegen so so sloth
dontknow,1,,4872,i dontknow why but i never feel this way with anyone else i really cant be without linus i love him which i never thought i could ever love anyone after went through few fucked up relationship
doodly,1,doodle,2694,im feeling doodly playful artistic hungry puzzled trendy stellar and wonderful
doomnation,1,donation,1378,id tell him that i feel that to cede control of our lives is the only way to prevent doomnation extremely clever play on damnation i know
dorama,1,drama,1297,i think i like how it feels more lively in the dorama
downvoted,1,,2883,i feel each time one of my posts gets massively downvoted pagetitle rugmi popular images of the now
dps,1,ups,5274,i was reading the melee dps rant below just now and it brought to my attention the reason ive been feeling fairly dissatisfied in raids recently
dpt,1,dot,1730,i was sleep was vey irritable and feeling paranoid because i work the oncology dpt of a hospital and feeling paranoiud cancer and through chemo
drs,1,dry,593,im currently struggling with feeling offended at my drs office worried about my body and what the heck is wrong very seriously contemplating getting my tubes tied and then the normal everyday things that occupy our minds at any given time
dsp,1,dip,3176,i feel a sense of loss when an extremely talented and passionate engineer who wants to work on certain dsp design eventually takes up a job at a financial number crunching software company only because he did not get the right kind of job
dubstep,1,dusted,898,i listen to dubstep when im feeling damn irritated
duckie,1,dickie,4734,i feel like the helpless duckie target for the commies and feds while at other times i want to run and hide
dumpee,1,dumped,3827,i know its the lot of the dumpee to feel slighted jealous unable to move on depressed angry and a whole bunch of other negative emotions that stem from the whole rejection and sometimes replacement involved in the break up process
dunham,1,durham,3775,i was impressed with how dunham portrayed hannahs whole experience from trying to deny that its happening to feeling offended when you feel like someone is trying to minimise the distress its causing you
dvd,1,did,1855,i woke up feeling confident and watched the bodypump dvd to gather some coaching tips and compulsory cues
dvds,1,dads,1151,i was already feeling pretty nervous about this prospect as i had a suitcase full of dvds of which we only watched one
dykey,1,dyke,2033,i was so honoured that this young woman felt comfortable enough to ask me i had kind of a faux hawk thing going on back then so i must have looked dykey enough for her to feel safe talking to me
eartha,1,earth,153,i have been sneakily listen to x mas music since the beginning of october but now i feel as if it is a little more socially acceptable to prance around while eartha kitt s version of santa baby blares from my ipod
easi,1,easy,4278,i feel like my casual nonchalant attitude is easi
ebooks,1,books,755,im feeling generous enough to give the rest of my supporters ebooks too
edochie,1,,3161,i feel insulted video pete edochie responds to death hoax i feel insulted a href http olajideolafunmbi
educationg,1,education,2177,i feel that educating families and supporting and educationg mamas and papas is key
egan,1,began,5726,i always feel very afraid as i work on books egan tells kurt
egf,1,egg,3445,im back with another skincare review well actually i feel reluctant to make a review of sectret key snail egf repairing gel cream because i even stopped using it switched back to my second jar of a href http sparkleapple
ehb,1,eh,3502,i actually thought i would feel bothered being their since ehb and the other woman ow spent quite a bit of time together there but i didnt feel much of anything
ehh,1,eh,1945,im feeling a bit shaken but not stirred nice bond reference ehh
eid,1,did,3971,i feel like it would make the startled person laugh and think it would be a nice eid gift
elle,1,else,5258,i feel fearless janelle mon e elle canada february img width height src http www
embarassing,1,embarrassing,3035,i also feel aggravated i have an embarassing reason i dont want to go home yet i dreaded coming here and now im dreading leaving here
embarrased,1,embarrassed,2675,i feel disgusted embarrased and sad about how i handled the situation
emm,1,em,1781,i face turn red and feel shy emm no
endzone,1,undone,1143,i could have checked it down to the back and i feel like i got greedy and took a shot at the endzone and didn t throw the right ball i wanted to throw and then it got picked off
enmayi,1,,2949,i am feeling that he does i wonder if such a dangerous place could be settled with the mentality that the enmayi have to bring to the possibility
entirelly,1,entirely,1172,i feel like i should rely entirelly on gods word yet i am impatient to wait
enuff,1,snuff,1075,im supposed to stay in the lively room but as an explorer i feel that the lively room simply does not have enuff to offer me and have decided to move on to the stairs bedrooms and baffroom
envous,1,envious,2403,i believe that if i by myself make a person feel uptight and want to be envous of me then they have another sin called jealousy
eqafe,1,safe,1966,i have the power to make another do what i want but in reality feel threatened and desire to control this other person so i am not a href https eqafe
errrr,1,error,353,i feel tat all of us in this world are clever just depending on how u are born if u are born to be errrr not good but it will still would have some good things that u have it just that u dun realise it lol i noe its quite lame hope no one have read it img src http shared
esily,1,easily,224,i can think about is how lonely i feel im all grouchy and agitated and esily airritated
etsy,1,easy,412,im feeling a bit apprehensive about it as i dont know if my little note cards will stand out from the mass of talent on etsy
euan,1,yuan,1392,i mean how would you feel if euan got hauled in for murder but you knew he was innocent
eurovision,1,provision,4815,i feel honoured to become a journalist on his blog dedicated to this amazing song contest which is eurovision
everchanging,1,overcharging,5170,i mostly feel this as a cause of hateful memories of that girl who used to run the everchanging sailormoon gateway who i think is still making a name for herself by being stupid and mean
everyones,1,everyone,1523,i know tv isnt everyones cup of tea so if that includes you feel free to scroll down a bit
everytime,1,overtime,4521,i dont think he is being honest with me about a lot of things i could be wrong here but i keep feeling skeptical about certain things after everytime i hang out with him
ewan,1,swan,2915,i began to feel agitated because i wanted to buy ewan some food and medicine before i left
exboyfriend,1,boyfriend,44,sometime back another girl who was in terms with my exboyfriend came to shout at me at twelve midnight it was because she thought i was still interested in the boy
excelent,1,excellent,3433,i feel excelent but sometimes theres just nothing to do especially since im not really keen on video games anymore i watch a bit of anime and some movies but theres just got to be more in my life
excitment,1,excitement,4185,i feel more excitment than reluctant xdd hohoho looking foward tmr xd cya tmr
exhilirated,1,exhilarated,4393,i think i wake up every day feeling terrified in some way but then i feel totally exhilirated when facing things i ve always been scared to do
existance,1,existence,5592,i was taunted by the ability of feeling threatened from weakness of frailty beneath this exterior of human existance lies a woman wanting nothing but a man needing his warmth and masculinity
extrememly,1,extremely,4837,i feel so extrememly bitchy today that ive done something i have never done in my years of life
falun,1,faun,3767,i read up on the practicies and cult like beliefs of falun gong and now i feel sceptical and a tad bemused
fam,1,am,1267,i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country
familys,1,family,1715,i feel very excited for my familys future
fanfictions,1,,1138,i was feeling frustrated somewhere between season and season of ccs anime and found the anipike website and that there were fanfictions written about ccs characters
fangirls,1,,739,i am happy with the news comeback i am feeling agitated with some fangirls
fantabulous,1,,1225,im just feeling seriously pissed off at myself for doing something fantabulous but utterly stupid
fascitis,1,fascist,5544,i feel some weird plantar fascitis y thing
fastforwarding,1,,2508,i wasn t feeling insulted over its idiocy i felt supremely bored and actually wound up fastforwarding through a few scenes
fatale,1,fatal,4732,i feel about femme fatale except its not cute anymore now that its pretty obvious that britneys not in control of her life that shes so burnt out and yet i get the impression shes almost forced into this career to the point that she just cant or wont deliver anymore
favour,1,favor,1055,i was annoyed this particular day as it seemad that the odds were not in my favour my grandfather added fuel to the fire
favours,1,favors,3474,i am not a very extremely good friend of someone of course i feel reluctant to some extent if i have to do favours for that someone
favs,1,fans,583,i was feeling so reluctant the whole day today the only thing that i feel like doing is just sticking my ass on the benches ground having heart to heart talks with my favs staring into space and nothing
feauture,1,feature,2848,ive always heard choose one feauture to play up eyes or lips then tone down the other feautures and i love this rule i feel envious of selena here she is soo pretty she has lovely dark hair and great eyes she can wear such a wide colour range
feautures,1,features,2848,ive always heard choose one feauture to play up eyes or lips then tone down the other feautures and i love this rule i feel envious of selena here she is soo pretty she has lovely dark hair and great eyes she can wear such a wide colour range
federer,1,federal,3432,i feel like federer is more talented player for sure
fedotenko,1,,1399,i feel any team pretty dangerous in playoffs york left wing ruslan fedotenko notes said
fedtastic,1,fantastic,5122,i doubles victory over brown struff we went back on sunday feeling really optimistic and looking forward to another day filled with more fedtastic tennis
feelbut,1,,2079,ive been trying to tell you how i feelbut was never very smart
feelingless,1,,811,i feel like a heartless and feelingless i know don t have this word daughter teenager
feely,1,feel,2726,i loved how all his pack mates bonded with her the touchy feely way they were with each other was sweet
fff,1,off,3645,i feel very honored to be on the shortlist and congratulate wish all nominees the very best for tonights awards thank you age scotland for the kindness div class intro style background color fff color font family trebuchet ms helvetica bitstream vera sans sans serif font size
ffs,1,ifs,688,im feeling rebellious amp ive missed the last couple of ffs on twitter so i thought id share two blogs that ive been loving recently
ffxi,1,fix,2053,i was feeling a little skeptical that it would arrive on time the situation was not improved by the fact that despite various perfect party setups seeking in ffxi nobody was bothering to set them up including me but duh im lazy
fiance,1,finance,1798,i posted about feeling like a super mom because i managed to care for myself my children my fiance and my house for one day while working and on little sleep
figt,1,fight,3593,i feel so insecure when we figt
filmfare,1,firmware,852,i feel extremely jealous when ranbir works with other directors ayan mukerji filmfare
finchers,1,finches,3296,im glad that peter doesnt feel threatened or concerned by my recent interest in decidedly egalitarian almost feminist christian blogs jonalyn finchers a href http soulation
finnerty,1,finery,3213,i would like to know why duke university administrators feel that it is acceptable to readmit collin finnerty news story jan
firey,1,fire,1386,i feel angered and firey
flavour,1,flavor,5649,i feel like that s an acceptable favourite to have and yet nowhere can i see a terpene responsible for its flavour
flexy,1,flex,398,i continued on my way despite feeling a bit strange with my flexy new shoes and sweat soaked back
flirtiing,1,flirting,33,i end up getting unwanted attention from boys i want little to do with or ill be sort of starting something with a boy then find myself flirtiing with others in his presence or ill feel really insincere around boys that i do like
fma,1,ma,2303,i feel distressed music on my mind rewrite fma op
focalors,1,locators,3712,i did feel reluctant to keep on going and drew focalors sigil with a black opium incense stick on a wall by grabbing the wooden part and pulling the incense part back slightly and allowing it to smack to wall leaving a black powder line and meditated
foward,1,forward,4185,i feel more excitment than reluctant xdd hohoho looking foward tmr xd cya tmr
fps,1,ups,396,ive played fps games and each time ive left feeling like it was an mentally emotionally dangerous thing to do that i had to switch off an important part of my brain just to play it
frickin,1,tricking,5617,i feel like im too frickin uptight to let loose enough to love anyone else or more importantly myself
friggety,1,fidgety,5178,i also feel that i am often a burden and in the way more than anything as a nursing student to the other nurses yet i must remember that while some may be grumpy at our presence everyone has to learn somewhere and boo friggety hoo if some medical personnel are irritated by the nursing students
fromthe,1,froth,973,i feel that everyone has the ability to be artistic in his or her own special way and find that the most attractive art is unleashed fromthe virgin artists
frusterated,1,frustrated,151,i found these emails from scott dale and just reading them frusterated me so much that i feel the need to post them and show the world what a neurotic freak he was is
furnitures,1,furniture,5137,i first entered the clinic i feel very welcomed by the beautiful ivory themed furnitures because the whole clinic look very clean spacious and professional and the cheerful consultants awaiting for me at the reception with a smile of course
furstenberg,1,,3220,im feeling especially honored as my picks feature alongside some of my favorite designers like diane von furstenberg rodarte and jason wu
gabapentin,1,,3297,i have noticed improvement is in the gabapentin and last nights dose of zonisamide which left me feeling very relaxed
gabriella,1,gabrielle,3419,i am standing so close to said cow her name is gabriella btw i feel rude calling her a cow
galvanised,1,galvanized,2906,i now feel everythings been resolved were psychically galvanised and prepared to wrestle the world to the ground
gaseumi,1,,2515,i just feel you so so dont be afraid naega deo apaya hae and pray again dasi neol chajeul su itge sigani heureulsurok gaseumi apawa i need you go back in time dan hanbeon manirado forgive my sins wo doedollil suman itdamyeon i gotong ttawin naegen so so sloth
gatsseo,1,gassed,2249,i gotta feeling da bul taewuhbeoryeo burn it up i gotta feeling niga ulbujitneun nal ah neoneun wiheomhae gal ttaekkaji gatsseo get away woooo becuz i m cuz i m dangerous b
ged,1,get,1478,i know you cant just ged rid of your feelings but seriously i dont see your parents supporting you dating a guy who s their age
genentech,1,,210,i wonder how genentech feel about a hostile takeover by its global partner
gerling,1,gelling,4386,i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u
gervase,1,erase,5499,i wish gervase would have piped down so id feel a little less vulnerable right now
gettin,1,getting,3360,i can go on not saying anything and feeling petty but it seems that this load is gettin heavy
gfathers,1,fathers,2656,ill take my gfathers ute down to get a load of shit or as some would prefer manure but im feeling hostile so let me have it and will attempt a version of a home made compost
glc,1,all,4187,i just feel shy because i was just a sharia stream student who is now still struggling with european union policy and decision making thesis while those uncles there discussing trillion dollars projects in government lead companies glc
glycemic,1,glyceric,1019,i feel like having that sweet carby yet low glycemic meal not just at breakfast but often for dessert
gooooood,1,,4653,i knew it was the holy spirit at work plus it feels divine in the gooooood way like a massage reassuring me
gotong,1,going,2515,i just feel you so so dont be afraid naega deo apaya hae and pray again dasi neol chajeul su itge sigani heureulsurok gaseumi apawa i need you go back in time dan hanbeon manirado forgive my sins wo doedollil suman itdamyeon i gotong ttawin naegen so so sloth
gulam,1,glam,2718,i feel that gulam ali is even more talented than many other classical singers
gwiyomi,1,,3371,i feel disgusted when need to act cute like the actions of gwiyomi
haagen,1,hagen,3382,i don t know about you but that feeling of powerlessness of not being in control sends me in a mad tizzy for the haagen dazs
hakodesh,1,,1424,i am ready to cry because i feel such a sweet presence of the ruach hakodesh the holy spirit in my room with me right now
hanbeon,1,hanson,2515,i just feel you so so dont be afraid naega deo apaya hae and pray again dasi neol chajeul su itge sigani heureulsurok gaseumi apawa i need you go back in time dan hanbeon manirado forgive my sins wo doedollil suman itdamyeon i gotong ttawin naegen so so sloth
hanford,1,sanford,2264,i read the sentinel article on hanford city councilman dan chins proposed media policy and the secret committee meetings my feelings could be summed up in a single word alarmed
hannahs,1,hannah,3775,i was impressed with how dunham portrayed hannahs whole experience from trying to deny that its happening to feeling offended when you feel like someone is trying to minimise the distress its causing you
hapiness,1,happiness,5774,i the ultimate place to restore the peace to feel divine to kneel for worship and to attain hapiness
happpy,1,happy,26,i am happpy when i get good results in the field of academics or athletics
haptic,1,attic,3358,i like build quality and how the button layout changes according to the phone s function i also like that the haptic feedback really feels like the phone has buttons herrman is still convinced there aren t haptics
haptics,1,tactics,3358,i like build quality and how the button layout changes according to the phone s function i also like that the haptic feedback really feels like the phone has buttons herrman is still convinced there aren t haptics
harrass,1,harass,1488,when people harrass me i feel oppressed by their behavior
hasan,1,hasa,1004,i hasan the man who makes me feel shy retiring and modest it s not true that there s no english word for schadenfreude
hav,1,have,3702,i feel so completely helpless to do anything to help those affected by the tornadoes that hav
heartedly,1,heatedly,987,i am sure the organisation themselves have the best of intentions though i disagree with them whole heartedly its just i get the feeling that some of the demostrators will be slightly hostile to students
hed,1,he,2516,i feel like hed think that was pretty cool because i certainly do
hehe,1,here,3807,i am actually considering buying them thats why i feel so unsure hehe
hellip,1,help,1554,i remember feeling so hellip furious with the shooter
helvetica,1,helvetia,3645,i feel very honored to be on the shortlist and congratulate wish all nominees the very best for tonights awards thank you age scotland for the kindness div class intro style background color fff color font family trebuchet ms helvetica bitstream vera sans sans serif font size
herrman,1,herman,3358,i like build quality and how the button layout changes according to the phone s function i also like that the haptic feedback really feels like the phone has buttons herrman is still convinced there aren t haptics
herzog,1,hertzog,4382,i feel that there is something valuable about herzog s study particularly as it relates to the idea of art and media influencing society and culture
heureulsurok,1,,2515,i just feel you so so dont be afraid naega deo apaya hae and pray again dasi neol chajeul su itge sigani heureulsurok gaseumi apawa i need you go back in time dan hanbeon manirado forgive my sins wo doedollil suman itdamyeon i gotong ttawin naegen so so sloth
hgtv,1,hit,756,i watch hgtv and i feel like im not that talented
hihi,1,his,4806,i myself stood before the crowd and talk but no more recent addition to the crowd feeling a little shaky hihi training and skills needed to maintain constant the better
hmmm,1,hamm,1699,i feel kind of talented right now lol hmmm
hohoho,1,honcho,4185,i feel more excitment than reluctant xdd hohoho looking foward tmr xd cya tmr
homis,1,homes,5431,i am simply to realize that master homis knows best and if he feels there is too much going on he will step in and help with some tasks that i perform and i am not to become distressed about this
honkerblonked,1,,1909,i feel bitter and just honkerblonked off in general
hp,1,he,177,i feel very reluctant to blog during my free period even when my hp is plugged to my laptop for charging making it easy to upload photos online
hrs,1,his,3158,i continue to spend hrs into not feeling envious can i really do it
hu,1,he,3072,i feel really wronged in fact what hu jia did is good for society
huhuhu,1,,4009,i feel so blessed now that i think something tragic is going to happen to me in the future huhuhu see i m still battling that thinking positive thing
humanbeings,1,,1990,i swamp uncaring unfeeling fucked up apathetic humanbeings who wont pull their heads out of their asses long enough to turn around and look at me and say i see you
hummpffff,1,,3700,i started feeling festive very soon right back in november and i suppose it was inevitable that i ran out of steam before the day itself im feeling all a bit hummpffff today you know so much to do so little time and its all going to be over in a flash
hw,1,he,5261,i shalt say we did cos i din feel a thing when he wrote hw he is keen on xxx
hyperchondria,1,hypochondria,2620,i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it
hyperemesis,1,,3696,im pretty sure it had to do with the fact that im dealing with hyperemesis not enough sleep and feeling irritable
hypersexual,1,,3085,i don t like the idea that women in the entertainment industry especially in pop music may feel pressured to turn themselves into hypersexual tartlets but i get the feeling that rihanna isn t being provocative because she feels she has to
hyunjin,1,,776,i saw kyuhyun in the crowd today while i was strolling through apgujeong with hyunjin the woman breathed feeling every bit sceptical at her own words
ibleeditout,1,,2475,im feeling really shaken up today my stomach hurts ibleeditout i ran into some friends and kodi has been a complete brat
ibs,1,is,4802,i am no longer feeling any effects from ibs irritable bowel syndrome that i suffered with for years
ick,1,pick,438,i had felt kind of ick but just figured it was nerves or feeling anxious
idk,1,ink,4224,i feel like my meds arent working correctly and idk its weird
idrc,1,idea,864,i want to be irreplaceable and until i find the person who makes me feel that way than i think id rather stay single because if im not your number than whats the point i refuse to be just something you settle for maybe im just stubborn but its how i feel so idrc
idreamculture,1,,1843,i feel valuable a href http idreamculture
ie,1,i,3500,during the last academic year ie just before the closure
ii,1,i,1422,i felt afraid just before receiving the question paper of the part ii exam
iii,1,wii,209,i also wouldnt mind a canon d mark iii if anyone is feeling generous
ima,1,ma,519,i forgot to take my meds this morning and i am predictably feeling irritable but less predictably i have been sitting here all day thinking ima kill a bitch if i dont get my hands on a chocolate cupcake
imdoing,1,doing,5307,imdoing good and its almost strange to feel carefree
immedietly,1,immediately,659,i was having a horrible day and decided i would only feel better if i didnt have red hair anymore so i immedietly went to wal mart and found a box of hair color with the description soft dark brown
improv,1,improve,1879,i was beginning to think that i had been cut from the ranks of the frugal antics improv challenge and was beginning to feel a bit insecure about my first entry last month
inbalance,1,imbalance,325,i feel uncertain about his motives and feel an inbalance in our committment to the process of counselling for reconciliation
incheswhyinches,1,,2108,i inquire incheswhyinches are people relocating droves about what they feel is security in precious metal
initally,1,initially,3469,i am so desperate to save her that i feel i will do anything yet i was so skeptical to consider chemo as i was told by her radiation oncologist initally as well as the internist that nasal sarcoma is not chemo sensitive
innanimate,1,inanimate,343,i feel suspicious of innanimate objects and as though my house is actually the set of a play or a movie or some kind of model of itself and how did i come to be here and why is that carpet looking up at me like that
insecured,1,insecure,5123,i dont show my insecurity in my persona if not i might come off as a mad bitch whod practically hated on everyone just because shes feeling insecured and being too overly paranoid
instagram,1,,3095,i posted this lovely picture on instagram and was feeling slightly rebellious walking on that plane feeling
instructables,1,,992,i feel some of my projects are clever and useful enough i figured i would start sharing them on instructables so i wrote my first one this weekend
intro,1,into,3645,i feel very honored to be on the shortlist and congratulate wish all nominees the very best for tonights awards thank you age scotland for the kindness div class intro style background color fff color font family trebuchet ms helvetica bitstream vera sans sans serif font size
iolani,1,island,1674,i mean already as a parent from the moment the iolani left my body i can tell you i feel like im constantly fearful for something horrible happening to her thats out of my control
irresistable,1,irresistible,3755,i know how it feels to find someone who is irresistable and remain innocent
irresponcible,1,irresponsible,5552,i have turned that page i feel like there is no way of getting back my irresponcible years of carefree college
itd,1,it,2489,i got s and really i feel like i hit the lottery i was scared itd be something like x and id be screwed
itdamyeon,1,,2515,i just feel you so so dont be afraid naega deo apaya hae and pray again dasi neol chajeul su itge sigani heureulsurok gaseumi apawa i need you go back in time dan hanbeon manirado forgive my sins wo doedollil suman itdamyeon i gotong ttawin naegen so so sloth
itge,1,inge,2515,i just feel you so so dont be afraid naega deo apaya hae and pray again dasi neol chajeul su itge sigani heureulsurok gaseumi apawa i need you go back in time dan hanbeon manirado forgive my sins wo doedollil suman itdamyeon i gotong ttawin naegen so so sloth
itv,1,it,4235,i feel i was appalled to see a misused apostrophe on the bbc and an incorrect spelling on itv last week
ivspirit,1,inspirit,2218,i had a feeling you were being sarcastic but ivspirit a href http translatethis
jacynthe,1,jacinth,4386,i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u
jakun,1,taken,1858,i feel so jakun that amused me for whole minutes
janne,1,jane,3907,i didnt feel especially nervous in finland but when we landed in paris i was a little unsure about what would be ahead of us thought st grade student janne suominen
jasons,1,jason,506,im feeling a little stressed out about it but i cant do much right now because im waiting for a couple of tax returns in the mail and a letter from jasons employer which is taking quite some time
jcho,1,echo,3622,im feeling all kinds of conflicted about the bit with his rather violent reaction towards the paparazzi over that zq jcho cpine lunch
jdelivery,1,delivery,5083,i will be thinking of each one of you i will be happy toast and feel my sincere huge magical group hug link rel stylesheet type text css href http jdelivery
jens,1,jews,2689,im feeling a little shaky because im going to give a speech at jens retirement lunch shortly and i dont want to cry
jia,1,via,3072,i feel really wronged in fact what hu jia did is good for society
jonalyn,1,jocelyn,3296,im glad that peter doesnt feel threatened or concerned by my recent interest in decidedly egalitarian almost feminist christian blogs jonalyn finchers a href http soulation
jonesing,1,honeying,5314,i was able to feel slightly less obnoxious knowing that other girls were jonesing as hard as i am
js,1,is,4700,i feel unsure because my financial future thanks to the stupid law is at this point partly dependent on js integrity rejected and jilted by j after we took vows unsure and even a little worried about getting passport ability to do so
jsk,1,ask,998,i chose innocent worlds alphabet rose jsk for its longer length longer lengths on lolita dresses always feel more casual and innocent to me than knee length styles and it reminds me of jane austen
jubilations,1,jubilation,4218,i now feel like im finally in a position to decide whether to indulge in joyful jubilations and claim my free chocolate bar
judeo,1,judo,4964,i feel these divine forces so strongly sometimes i wonder if agnostics atheists and judeo christian fundamentalists have any feeling or excitement in their hearts
jugra,1,jura,1152,i admit to feeling slightly alarmed that her book was also based on olden sarawak and there seemed to be parallel plot lines to the jugra chronicles
justanswer,1,,5660,i feel really pissed off justanswer
jz,1,ja,4936,i get another call from a frantic junior for my file and i obviously refused ta help her and now im feeling like i was too rude i mean i jz went like yeah sorry i just dont do that
kairi,1,kari,1801,i has for this other woman she feels greedy and wants kairi all for herself
kakashi,1,karachi,3797,i have the distinct sickening feeling he paused glancing up at kakashi and the rest of his eager audience that i m going to regret this
kardashion,1,,1728,i love doing kim kardashion make up tutorials i always feel so glamorous with all that make up on
kassim,1,passim,5332,i feel so honored and grateful to have met kassim selamat of the swallows during my trip
kastrioti,1,,4286,i feel bitter theofilou said of the lack of support to nods of agreement by kastrioti who waited for her turn to board
katanya,1,katanga,2847,i feel i did some thing impolite katanya
katniss,1,fatness,1518,i feel like i should try to calm her down shes been very good to me since the games ended but i can see katniss getting more and more tense with every schedule adjustment
kayle,1,kyle,4386,i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u
khatsii,1,whatsit,2669,i hope not pagetitle khatsii feeling fearful
kiat,1,kit,3952,i was starting to feel resentful towards ah kiat with regards to his obsessive and anal approach towards the house and forgetting he has only treated me with lots of love care and attention so far since weve been together
kitt,1,kit,153,i have been sneakily listen to x mas music since the beginning of october but now i feel as if it is a little more socially acceptable to prance around while eartha kitt s version of santa baby blares from my ipod
kj,1,ka,1565,i feel disgusted c kj rel bookmark class permalink nov middot
km,1,am,2624,i dont mean that id like to chicken out but i am feeling more insecure about myself and maybe doubting the fact that i should be able to run km tomorrow
kodi,1,jodi,2475,im feeling really shaken up today my stomach hurts ibleeditout i ran into some friends and kodi has been a complete brat
kome,1,come,3865,i or you are feeling adventurous you can buy k ji kin spores by mailorder and make your own kome k ji using the rice of your choice
krupke,1,rupee,4368,i feel pretty officer krupke and somewhere
kyuhyun,1,,776,i saw kyuhyun in the crowd today while i was strolling through apgujeong with hyunjin the woman breathed feeling every bit sceptical at her own words
lacklustre,1,lackluster,4489,ive been feeling reluctant intermittent and lacklustre to pen my thoughts down
laetshi,1,lathi,5369,i chose to go with my gut feeling i think this only amused laetshi further if i d been the easily flustered type he d have probably said something
laiya,1,aliya,4989,i was way up ahead of raphael and laiya jennifer had stayed behind to watch our stuff since i was feeling particularly energetic and scampering up the mountain
lawrencewashington,1,,3263,i feel tortured a href http lawrencewashington
leadingstrings,1,,4470,when my mother kept me in leadingstrings
learing,1,leaving,3841,i feel like a paranoid victim of the system in fear of something learing in the depths
legard,1,regard,2873,i feel a tranquil and eloquent charm his praise array delights me thought of legard but he loved me not
legos,1,legs,2265,i usually use smaller legos however this year i have a few students with fine motor delays and i want all my students to feel successful
lenghth,1,length,5778,i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp
lensflares,1,,1169,i feel that the most talented of illustrators designers are ones that know how to get an idea across without the trappings of crosshatching and lensflares on everything
lestat,1,least,1711,i do not feel like a child and yet i could see myself giving into that carefree way of lestat
lette,1,letter,1906,i was lured into the idea of the event with the promise of free champagne you know me and a brilliant talk by bestselling author kathy lette but left feeling genuinely inspired and empowered
liebkind,1,,10,i feel a bit like franz liebkind in the producers not many people know it but the fuhrer was a terrific dancer
